"RefSeq.Locus.Tag"	"Mccann 2011"	"CF fraction of Souza 2011"	"membrane of Souza 2011"	"Malen 2011"	"Malen 2010 TritonX"	"Malen 2007"	"Braunstein 2000"	"Chitale 2001"	"Wolfe 2010"	"Gu 2003"	"Sulzenbacher 2006"	"Mawuenyega 2005 Membrane"	"Mawuenyega 2005 Cell Wall"	"Rosenkrands 2000"	"Gomez 2000"	"McDonough 2008"	"Xiong 2005"	"Count of num of times identified as exported"	"Signal P predicts sp"	"TatP predicts Tat sp"	"TMHMM predicts transmembrane domain"	"num of times predicted to have an export signal"	"Macaque Deadman Dutta 2010"	"Macrophage TRASH Jyothi 2005"	"Macrophage TRASH BCG Cole 2005"	"Macrophage enriched in acidified phagosomes TRASH BCG Cole 2005"	"Mouse TRASH Sassetti"	"Mouse Deadman Lamichhane 2005"	"Cholesterol in vitro TRASH Griffin 2011"	"in vitro essential Sassetti 2003"	"in vitro essential Griffin 2011"	"BALB div c in vivo expressed Talaat 2004"	"SCID in vivo expressed Talaat 2004"	"only 7H9 expressed Talaat 2004"	"in vivo only expressed Talaat 2004"	"Sasky serine hydrolase"	"Identified in Bell 2012 (high density mspec-any fractions)"
"Rv0021c"																		0				0								"non-essential"	"non-essential"						
"Rv0022c"													"Y"					1				0								"non-essential"	"non-essential"						
"Rv0023"			"Y"															1				0								"non-essential"	"essential"						
"Rv0024"																		0				0								"non-essential"	"non-essential"						
"Rv0025"																		0				0								"non-essential"	"non-essential"						
"Rv0026"																		0				0								"non-essential"	"non-essential"						
"Rv0027"																		0				0								"non-essential"	"non-essential"						
"Rv0028"																		0				0								"no-data"	"non-essential"						
"Rv0029"																		0				0								"non-essential"	"non-essential"						
"Rv0030"																		0				0								"non-essential"	"non-essential"						
"Rv0031"																		0				0								"non-essential"	"non-essential"						
"Rv0032"																		0				0								"non-essential"	"essential"						
"Rv0033"																		0				0								"non-essential"	"non-essential"						
"Rv0034"																		0				0								"non-essential"	"non-essential"						
"Rv0035"																		0				0								"non-essential"	"non-essential"						
"Rv0036c"			"Y"						"Y"									2				0			"Y"					"non-essential"	"non-essential"						"Y"
"Rv0037c"			"Y"	"Y"														2			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv0038"																		0				0								"non-essential"	"non-essential"						
"Rv0039c"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv0040c"		"Y"				"Y"												2	"Y"		"Y"	2								"non-essential"	"non-essential"						"Y"
"Rv0041"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv0042c"			"Y"															1				0								"no-data"	"non-essential"						"Y"
"Rv0043c"																		0				0								"non-essential"	"non-essential"						
"Rv0044c"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv0045c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv0046c"		"Y"	"Y"															2				0								"non-essential"	"essential"						
"Rv0047c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0048c"			"Y"	"Y"					"Y"									3			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv0049"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv0050"		"Y"	"Y"															2				0								"non-essential"	"essential"						
"Rv0051"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0052"			"Y"	"Y"						"Y"								3				0								"non-essential"	"non-essential"						
"Rv0053"			"Y"						"Y"									2				0								"no-data"	"essential"						"Y"
"Rv0054"		"Y"	"Y"			"Y"												3				0								"no-data"	"non-essential"						"Y"
"Rv0055"			"Y"															1				0								"no-data"	"non-essential"						"Y"
"Rv0056"			"Y"						"Y"									2				0								"no-data"	"non-essential"						"Y"
"Rv0057"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv0058"																		0				0								"essential"	"essential"						
"Rv0059"																		0				0								"non-essential"	"non-essential"						
"Rv0060"																		0				0								"essential"	"essential"						
"Rv0061"																		0				0								"non-essential"	"non-essential"						
"Rv0062"		"Y"				"Y"												2			"Y"	1								"non-essential"	"non-essential"						
"Rv0063"		"Y"				"Y"										"Y"		3	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv0064"	"Y"					"Y"	"Y"		"Y"									4			"Y"	1								"non-essential"	"non-essential"						
"Rv0065"																		0				0								"non-essential"	"non-essential"						
"Rv0066c"		"Y"	"Y"						"Y"									3				0								"non-essential"	"essential"						"Y"
"Rv0067c"																		0				0								"no-data"	"non-essential"						
"Rv0068"																		0				0	"Y"		"Y"					"non-essential"	"non-essential"						"Y"
"Rv0069c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0070c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0071"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv0072"	"Y"		"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv0073"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0074"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0075"		"Y"	"Y"			"Y"												3				0								"non-essential"	"non-essential"						
"Rv0076c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0077c"			"Y"															1				0								"non-essential"	"non-essential"					"Y"	
"Rv0078"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0078A"		"Y"																1				0								"no-data"	"non-essential"						"Y"
"Rv0079"									"Y"									1				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv0080"																		0				0								"non-essential"	"non-essential"						
"Rv0081"												"Y"						1				0								"non-essential"	"non-essential"						"Y"
"Rv0082"			"Y"															1				0		"Y"						"non-essential"	"non-essential"						
"Rv0083"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0084"																		0			"Y"	1	"Y"							"non-essential"	"non-essential"						
"Rv0085"				"Y"														1			"Y"	1								"essential"	"non-essential"						
"Rv0086"																		0			"Y"	1								"essential"	"non-essential"						
"Rv0087"																		0				0								"no-data"	"non-essential"						
"Rv0088"			"Y"							"Y"								2				0								"no-data"	"essential"						"Y"
"Rv0089"																		0				0								"no-data"	"non-essential"						
"Rv0090"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0091"																		0				0								"non-essential"	"non-essential"						
"Rv0092"	"Y"								"Y"									2			"Y"	1		"Y"						"non-essential"	"non-essential"						
"Rv0093c"			"Y"	"Y"					"Y"									3			"Y"	1								"no-data"	"non-essential"						
"Rv0094c"																		0				0								"non-essential"	"non-essential"						
"Rv0095c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0096"																		0			"Y"	1		"Y"						"no-data"	"non-essential"						
"Rv0097"																		0				0						"Y"		"non-essential"	"non-essential"						
"Rv0098"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv0099"												"Y"						1				0					"Y"			"non-essential"	"non-essential"						
"Rv0100"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv0101"									"Y"									1				0					"Y"	"Y"		"non-essential"	"non-essential"						
"Rv0102"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						
"Rv0103c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0104"																		0				0								"non-essential"	"non-essential"						
"Rv0105c"																		0				0								"non-essential"	"non-essential"						
"Rv0106"																		0				0			"Y"					"no-data"	"non-essential"						"Y"
"Rv0107c"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv0108c"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv0109"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv0110"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv0111"									"Y"			"Y"	"Y"					3			"Y"	1								"non-essential"	"non-essential"						
"Rv0112"																		0				0								"essential"	"essential"						
"Rv0113"																		0				0								"non-essential"	"non-essential"						
"Rv0114"																		0				0								"non-essential"	"non-essential"						
"Rv0115"																		0				0								"non-essential"	"non-essential"						
"Rv0116c"	"Y"	"Y"				"Y"												3	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv0117"																		0				0								"non-essential"	"non-essential"						
"Rv0118c"									"Y"									1				0								"essential"	"essential"						
"Rv0119"			"Y"															1				0								"no-data"	"essential"						"Y"
"Rv0120c"			"Y"						"Y"									2				0								"no-data"	"non-essential"						"Y"
"Rv0121c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0122"																		0				0								"non-essential"	"non-essential"						
"Rv0123"																		0				0								"non-essential"	"essential"						
"Rv0124"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv0125"	"Y"	"Y"	"Y"	"Y"		"Y"	"Y"		"Y"									7	"Y"		"Y"	2								"no-data"	"non-essential"						"Y"
"Rv0126"		"Y"	"Y"															2				0								"growth-defect"	"essential"						
"Rv0127"		"Y"	"Y"															2				0								"essential"	"essential"						"Y"
"Rv0128"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0129c"		"Y"	"Y"	"Y"		"Y"			"Y"					"Y"				6		"Y"	"Y"	2						"Y"		"non-essential"	"non-essential"						"Y"
"Rv0130"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0131c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0132c"																		0				0								"non-essential"	"non-essential"						
"Rv0133"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0134"			"Y"															1				0								"non-essential"	"non-essential"					"Y"	"Y"
"Rv0135c"																		0				0								"non-essential"	"non-essential"						
"Rv0136"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0137c"																		0				0								"non-essential"	"non-essential"						
"Rv0138"																		0				0								"non-essential"	"non-essential"						
"Rv0139"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv0140"						"Y"												1				0								"non-essential"	"non-essential"						"Y"
"Rv0141c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0142"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv0143c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv0144"			"Y"	"Y"						"Y"								3			"Y"	1								"non-essential"	"non-essential"						
"Rv0145"																		0				0								"non-essential"	"non-essential"						
"Rv0146"																		0				0								"non-essential"	"non-essential"						"Y"
"Rv0147"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv0148"		"Y"	"Y"						"Y"									3				0								"non-essential"	"non-essential"						"Y"
"Rv0149"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0150c"																		0				0								"no-data"	"non-essential"						
"Rv0151c"																		0			"Y"	1								"non-essential"	"non-essential"					"Y"	
"Rv0152c"																		0	"Y"			1								"non-essential"	"non-essential"					"Y"	
"Rv0153c"																		0				0							"Y"	"no-data"	"non-essential"						
"Rv0154c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0155"			"Y"															1				0								"no-data"	"non-essential"						"Y"
"Rv0156"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0157"				"Y"														1			"Y"	1								"non-essential"	"non-essential"						"Y"
"Rv0157A"																		0				0	"Y"							"no-data"	"no-data"						
"Rv0158"																		0				0								"non-essential"	"non-essential"						
"Rv0159c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv0160c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv0161"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0162c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0163"			"Y"															1				0	"Y"							"non-essential"	"non-essential"						
"Rv0164"		"Y"				"Y"								"Y"				3				0								"no-data"	"essential"						"Y"
"Rv0165c"																		0				0								"non-essential"	"non-essential"						
"Rv0166"																		0				0								"non-essential"	"non-essential"						
"Rv0167"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						
"Rv0168"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv0169"	"Y"		"Y"	"Y"				"Y"	"Y"									5			"Y"	1		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						"Y"
"Rv0170"	"Y"		"Y"	"Y"		"Y"												4			"Y"	1		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						"Y"
"Rv0171"	"Y"		"Y"	"Y"														3	"Y"		"Y"	2		"Y"			"Y"			"non-essential"	"non-essential"						"Y"
"Rv0172"	"Y"	"Y"	"Y"	"Y"		"Y"			"Y"									6			"Y"	1		"Y"						"no-data"	"non-essential"						"Y"
"Rv0173"	"Y"		"Y"	"Y"		"Y"			"Y"									5			"Y"	1	"Y"	"Y"			"Y"			"non-essential"	"non-essential"						"Y"
"Rv0174"	"Y"	"Y"	"Y"	"Y"		"Y"			"Y"			"Y"						7			"Y"	1		"Y"						"non-essential"	"non-essential"						"Y"
"Rv0175"	"Y"						"Y"											2			"Y"	1		"Y"			"Y"			"non-essential"	"non-essential"						"Y"
"Rv0176"			"Y"	"Y"														2			"Y"	1		"Y"	"Y"		"Y"			"non-essential"	"non-essential"						
"Rv0177"			"Y"	"Y"														2			"Y"	1		"Y"	"Y"					"non-essential"	"non-essential"						
"Rv0178"	"Y"									"Y"								2			"Y"	1		"Y"						"non-essential"	"non-essential"						"Y"
"Rv0179c"							"Y"											1	"Y"		"Y"	2	"Y"	"Y"						"non-essential"	"non-essential"						
"Rv0180c"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						"Y"
"Rv0181c"																		0				0								"non-essential"	"non-essential"						
"Rv0182c"																		0	"Y"			1								"non-essential"	"non-essential"						
"Rv0183"			"Y"						"Y"									2				0								"non-essential"	"non-essential"					"Y"	"Y"
"Rv0184"																		0				0								"non-essential"	"non-essential"						
"Rv0185"																		0				0								"non-essential"	"non-essential"						
"Rv0186"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0187"		"Y"	"Y"									"Y"						3				0		"Y"						"non-essential"	"non-essential"						"Y"
"Rv0188"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0189c"		"Y"	"Y"															2				0								"essential"	"essential"						
"Rv0190"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0191"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0192"						"Y"												1				0								"no-data"	"no-data"						
"Rv0192A"																		0	"Y"	"Y"	"Y"	3								"non-essential"	"non-essential"						
"Rv0193c"																		0				0								"non-essential"	"non-essential"						
"Rv0194"									"Y"									1			"Y"	1								"non-essential"	"non-essential"						
"Rv0195"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv0196"																		0				0								"non-essential"	"non-essential"						
"Rv0197"																		0				0								"non-essential"	"non-essential"						
"Rv0198c"		"Y"																1				0								"non-essential"	"essential"						
"Rv0199"	"Y"																	1			"Y"	1					"Y"			"no-data"	"non-essential"						"Y"
"Rv0200"																		0			"Y"	1			"Y"					"non-essential"	"non-essential"						
"Rv0201c"			"Y"															1				0			"Y"					"non-essential"	"non-essential"						
"Rv0202c"									"Y"									1	"Y"		"Y"	2			"Y"				"Y"	"non-essential"	"non-essential"						
"Rv0203"		"Y"				"Y"												2	"Y"		"Y"	2								"no-data"	"non-essential"						"Y"
"Rv0204c"			"Y"	"Y"														2			"Y"	1					"Y"	"Y"		"non-essential"	"essential"						
"Rv0205"			"Y"															1			"Y"	1								"essential"	"non-essential"						
"Rv0206c"			"Y"	"Y"			"Y"		"Y"									4			"Y"	1				"Y"				"non-essential"	"essential"						"Y"
"Rv0207c"																		0				0		"Y"						"non-essential"	"non-essential"						
"Rv0208c"																		0				0								"essential"	"essential"						
"Rv0209"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv0210"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0211"		"Y"	"Y"			"Y"			"Y"									4				0			"Y"					"no-data"	"essential"						"Y"
"Rv0212c"																		0				0								"non-essential"	"non-essential"						
"Rv0213c"																		0				0	"Y"							"non-essential"	"non-essential"						
"Rv0214"																		0				0								"non-essential"	"non-essential"						
"Rv0215c"																		0				0								"non-essential"	"non-essential"						
"Rv0216"		"Y"	"Y"															2				0					"Y"			"non-essential"	"non-essential"						"Y"
"Rv0217c"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv0218"			"Y"	"Y"														2			"Y"	1					"Y"			"no-data"	"non-essential"						
"Rv0219"						"Y"												1			"Y"	1								"non-essential"	"non-essential"						
"Rv0220"																		0				0								"non-essential"	"non-essential"					"Y"	
"Rv0221"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0222"		"Y"	"Y"															2				0								"no-data"	"non-essential"						"Y"
"Rv0223c"			"Y"															1				0								"no-data"	"non-essential"						
"Rv0224c"																		0				0								"essential"	"essential"						
"Rv0225"																		0				0								"no-data"	"essential"						
"Rv0226c"			"Y"	"Y"														2			"Y"	1								"essential"	"essential"						
"Rv0227c"			"Y"	"Y"					"Y"	"Y"		"Y"						5	"Y"		"Y"	2								"essential"	"essential"						"Y"
"Rv0228"																		0			"Y"	1								"essential"	"essential"						
"Rv0229c"		"Y"	"Y"	"Y"														3			"Y"	1								"non-essential"	"non-essential"						
"Rv0230c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0231"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv0232"																		0				0								"non-essential"	"non-essential"						
"Rv0233"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0234c"		"Y"	"Y"															2				0								"no-data"	"non-essential"						"Y"
"Rv0235c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"essential"						
"Rv0236A"																		0			"Y"	1								"no-data"	"non-essential"						
"Rv0236c"												"Y"						1	"Y"		"Y"	2								"essential"	"essential"						
"Rv0237"		"Y"	"Y"			"Y"			"Y"									4	"Y"			1								"non-essential"	"non-essential"						"Y"
"Rv0238"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0239"																		0				0								"non-essential"	"non-essential"						
"Rv0240"																		0				0	"Y"							"non-essential"	"non-essential"						
"Rv0241c"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0242c"		"Y"	"Y"			"Y"			"Y"				"Y"					5				0								"non-essential"	"non-essential"						"Y"
"Rv0243"			"Y"						"Y"									2				0			"Y"					"non-essential"	"non-essential"						"Y"
"Rv0244c"			"Y"			"Y"												2				0							"Y"	"no-data"	"non-essential"						"Y"
"Rv0245"																		0				0								"non-essential"	"non-essential"						
"Rv0246"													"Y"					1			"Y"	1								"non-essential"	"non-essential"						
"Rv0247c"			"Y"						"Y"									2				0			"Y"					"no-data"	"essential"						"Y"
"Rv0248c"		"Y"	"Y"						"Y"	"Y"								4				0								"no-data"	"essential"						"Y"
"Rv0249c"			"Y"	"Y"														2			"Y"	1					"Y"			"non-essential"	"essential"						"Y"
"Rv0250c"			"Y"															1				0	"Y"							"non-essential"	"non-essential"						"Y"
"Rv0251c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv0252"									"Y"									1				0								"non-essential"	"non-essential"						
"Rv0253"																		0				0								"non-essential"	"non-essential"						
"Rv0254c"																		0				0								"non-essential"	"non-essential"						
"Rv0255c"																		0				0								"non-essential"	"non-essential"						
"Rv0256c"												"Y"						1				0			"Y"					"non-essential"	"non-essential"						
"Rv0257"																		0				0								"no-data"	"non-essential"						
"Rv0258c"																		0				0								"non-essential"	"non-essential"						
"Rv0259c"																		0				0								"non-essential"	"non-essential"						
"Rv0260c"																		0				0								"non-essential"	"essential"						
"Rv0261c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0262c"																		0				0								"non-essential"	"non-essential"						
"Rv0263c"																		0				0								"non-essential"	"non-essential"						
"Rv0264c"																		0				0								"non-essential"	"non-essential"						
"Rv0265c"	"Y"	"Y"	"Y"			"Y"												4		"Y"		1								"non-essential"	"non-essential"						"Y"
"Rv0266c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0267"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0268c"																		0				0								"non-essential"	"non-essential"						
"Rv0269c"																		0				0								"non-essential"	"non-essential"						
"Rv0270"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv0271c"			"Y"						"Y"									2				0								"non-essential"	"non-essential"						"Y"
"Rv0272c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv0273c"																		0				0								"non-essential"	"non-essential"						
"Rv0274"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						
"Rv0275c"																		0				0								"no-data"	"non-essential"						
"Rv0276"												"Y"						1				0								"non-essential"	"non-essential"						
"Rv0277c"																		0				0								"non-essential"	"non-essential"						
"Rv0278c"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv0279c"																		0	"Y"			1								"no-data"	"non-essential"						
"Rv0280"																		0				0								"no-data"	"non-essential"						"Y"
"Rv0281"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv0282"			"Y"						"Y"			"Y"	"Y"					4				0								"essential"	"essential"						"Y"
"Rv0283"			"Y"	"Y"		"Y"			"Y"									4			"Y"	1								"essential"	"essential"						"Y"
"Rv0284"			"Y"	"Y"					"Y"				"Y"					4			"Y"	1								"essential"	"essential"						"Y"
"Rv0285"		"Y"	"Y"			"Y"												3	"Y"			1								"essential"	"non-essential"						
"Rv0286"																		0			"Y"	1								"essential"	"essential"						
"Rv0287"		"Y"	"Y"			"Y"								"Y"				4				0								"no-data"	"non-essential"						"Y"
"Rv0288"														"Y"				1				0								"non-essential"	"essential"						"Y"
"Rv0289"																		0				0			"Y"					"essential"	"essential"						
"Rv0290"			"Y"	"Y"					"Y"	"Y"		"Y"						5			"Y"	1								"essential"	"essential"						"Y"
"Rv0291"		"Y"	"Y"	"Y"		"Y"			"Y"									5	"Y"		"Y"	2								"essential"	"essential"						"Y"
"Rv0292"			"Y"	"Y"					"Y"									3			"Y"	1								"essential"	"essential"						"Y"
"Rv0293c"			"Y"															1				0								"non-essential"	"non-essential"					"Y"	"Y"
"Rv0294"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv0295c"													"Y"					1				0								"non-essential"	"non-essential"						
"Rv0296c"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv0297"																		0	"Y"			1				"Y"				"non-essential"	"non-essential"						
"Rv0298"																		0				0								"non-essential"	"non-essential"						
"Rv0299"																		0				0								"non-essential"	"non-essential"						
"Rv0300"																		0				0								"non-essential"	"non-essential"						
"Rv0301"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0302"																		0				0								"non-essential"	"non-essential"						
"Rv0303"																		0				0								"non-essential"	"non-essential"						
"Rv0304c"																		0				0								"non-essential"	"non-essential"						
"Rv0305c"														"Y"				1				0								"non-essential"	"non-essential"						
"Rv0306"																		0				0								"non-essential"	"non-essential"						
"Rv0307c"			"Y"															1				0			"Y"					"non-essential"	"non-essential"						
"Rv0308"			"Y"	"Y"														2			"Y"	1								"no-data"	"non-essential"						"Y"
"Rv0309"		"Y"	"Y"	"Y"		"Y"			"Y"									5	"Y"		"Y"	2								"no-data"	"non-essential"						
"Rv0310c"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0311"		"Y"	"Y"															2				0								"essential"	"non-essential"						
"Rv0312"	"Y"																	1			"Y"	1								"essential"	"non-essential"						
"Rv0313"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0314c"			"Y"	"Y"														2			"Y"	1								"non-essential"	"non-essential"						
"Rv0315"		"Y"	"Y"			"Y"									"Y"	"Y"		5	"Y"	"Y"		2								"non-essential"	"non-essential"						"Y"
"Rv0316"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0317c"																		0				0								"non-essential"	"non-essential"						
"Rv0318c"																		0			"Y"	1								"non-essential"	"non-essential"						
"Rv0319"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0320"																		0	"Y"		"Y"	2								"non-essential"	"non-essential"						
"Rv0321"		"Y"	"Y"															2				0				"Y"				"non-essential"	"non-essential"						"Y"
"Rv0322"																		0				0								"non-essential"	"non-essential"						
"Rv0323c"																		0				0								"non-essential"	"non-essential"						
"Rv0324"																		0				0								"non-essential"	"non-essential"						
"Rv0325"																		0				0			"Y"					"non-essential"	"non-essential"						
"Rv0326"																		0				0					"Y"			"non-essential"	"non-essential"						
"Rv0327c"									"Y"									1				0								"no-data"	"essential"						
"Rv0328"			"Y"															1				0								"non-essential"	"non-essential"						
"Rv0329c"																		0				0								"non-essential"	"non-essential"						
"Rv0330c"																		0				0								"non-essential"	"non-essential"						
"Rv0331"		"Y"	"Y"															2				0								"non-essential"	"non-essential"						"Y"
"Rv0332"			"Y"									"Y"						2				0								"non-essential"	"non-essential"						
"Rv0333"			"Y"															1				0								"non-essential"	"non-essential"						"Y"
"Rv0334"									"Y"									1				0								"essential"	"essential"						
"Rv0335c"													"Y"					1	"Y"			1								"essential"	"non-essential"						
"Rv0336"													"Y"					1				0	"Y"					"Y"		"non-essential"	"non-essential"						
"Rv0337c"																		0				0								"essential"	"essential"						
"Rv0338c"			"Y"	"Y"					"Y"									3			"Y"	1								"essential"	"essential"						"Y"
"Rv0339c"																		0				0								"no-data"	"non-essential"						
