Genome	Accession	Locus Tag	RefSeq Locus Tag	Annotation	Feature Type	Start	End	Length	Strand	Protein ID	AA Length	Gene Symbol	Product	Pseudo Gene	Bound Moiety	AntiCodon	
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0073		RefSeq	misc_feature	82507	82560	54	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0073		RefSeq	misc_feature	82105	82149	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0073		RefSeq	CDS	81676	82668	993	+		330		glutamine-transport ATP-binding protein ABC transporter				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0073		RefSeq	misc_feature	81793	81816	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0074		RefSeq	CDS	82748	83983	1236	+		411		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0075		RefSeq	CDS	83996	85168	1173	+		390		aminotransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0078		RefSeq	CDS	86528	87133	606	+		201		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0079		RefSeq	CDS	88204	89025	822	+		273		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0080		RefSeq	CDS	89022	89480	459	+		152		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0081		RefSeq	CDS	89575	89919	345	+		114		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0082		RefSeq	CDS	89924	90403	480	+		159		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0083		RefSeq	CDS	90400	92322	1923	+		640		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0084		RefSeq	CDS	92328	93278	951	+		316	hycD	formate hydrogenlyase HYCD				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0085		RefSeq	CDS	93289	93951	663	+		220	hycP	hydrogenase HycP				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0086		RefSeq	CDS	93951	95417	1467	+		488	hycQ	hydrogenase HycQ				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0087		RefSeq	CDS	95414	96892	1479	+		492	hycE	formate hydrogenase HycE				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0088		RefSeq	CDS	96927	97601	675	+		224		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0089		RefSeq	CDS	97758	98351	594	+		197		methyltransferase/methylase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0090		RefSeq	CDS	98480	99250	771	+		256		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0091		RefSeq	CDS	99684	100451	768	+		255	mtn	bifunctional 5'-methylthioadenosine nucleosidase/S-adenosylhomocysteine nucleosidase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0092		RefSeq	misc_feature	101909	101929	21	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0092		RefSeq	CDS	100583	102868	2286	+		761	ctpA	cation transporter P-type ATPase A				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0092		RefSeq	misc_feature	100640	100726	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0096		RefSeq	CDS	105324	106715	1392	+		463	PPE1	PPE family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0097		RefSeq	CDS	106734	107603	870	+		289		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0097		RefSeq	misc_feature	107474	107488	15	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0098		RefSeq	CDS	107600	108151	552	+		183		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0099		RefSeq	misc_feature	108675	108710	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0099		RefSeq	CDS	108156	109778	1623	+		540	fadD10	acyl-CoA synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnt01		RefSeq	tRNA	10887	10960	74	+				tRNA-Ile				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvns01		RefSeq	misc_RNA	2500445	2500751	307	-								
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnr01		RefSeq	rRNA	1471846	1473382	1537	+			rrs	ribosomal RNA 16S				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0100		RefSeq	CDS	109783	110019	237	+		78		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0101		RefSeq	misc_feature	111729	111764	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0101		RefSeq	CDS	110001	117539	7539	+		2512	nrp	peptide synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0101		RefSeq	misc_feature	116040	116087	48	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0101		RefSeq	misc_feature	110070	110093	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0101		RefSeq	misc_feature	114906	114941	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0102		RefSeq	misc_feature	119085	119102	18	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0102		RefSeq	CDS	117714	119699	1986	+		661		integral membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0104		RefSeq	CDS	122317	123831	1515	+		504		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0106		RefSeq	CDS	124374	125570	1197	+		398		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0109		RefSeq	CDS	131382	132872	1491	+		496	PE_PGRS1	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0110		RefSeq	CDS	133020	133769	750	+		249		integral membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0111		RefSeq	CDS	133950	136007	2058	+		685		transmembrane acyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0112		RefSeq	CDS	136289	137245	957	+		318	gca	GDP-mannose 4,6-dehydratase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0112		RefSeq	misc_feature	136673	136759	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0113		RefSeq	CDS	137319	137909	591	+		196	gmhA	phosphoheptose isomerase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0114		RefSeq	CDS	137941	138513	573	+		190	gmhB	D-alpha,beta-D-heptose-1,7-biphosphate phosphatase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0115		RefSeq	CDS	138513	139673	1161	+		386	hddA	D-alpha-D-heptose-7-phosphate kinase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0115		RefSeq	misc_feature	139188	139220	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0117		RefSeq	CDS	141200	142144	945	+		314	oxyS	oxidative stress response regulatory protein OXYS				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0117		RefSeq	misc_feature	141248	141340	93	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0119		RefSeq	misc_feature	144562	144597	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0119		RefSeq	CDS	144049	145626	1578	+		525	fadD7	acyl-CoA synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0122		RefSeq	CDS	148491	148859	369	+		122		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0123		RefSeq	CDS	148856	149224	369	+		122		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0124		RefSeq	CDS	149533	150996	1464	+		487	PE_PGRS2	PE-PGRS family protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0125		RefSeq	CDS	151148	152215	1068	+		355	pepA	serine protease PepA				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0125		RefSeq	misc_feature	151751	151786	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0126		RefSeq	CDS	152324	154129	1806	+		601	treS	trehalose synthase TRES				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0127		RefSeq	CDS	154232	155599	1368	+		455		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0128		RefSeq	CDS	155667	156446	780	+		259		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0130		RefSeq	CDS	157847	158302	456	+		151		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0133		RefSeq	CDS	160869	161474	606	+		201		acetyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0134		RefSeq	CDS	161771	162673	903	+		300	ephF	epoxide hydrolase EphF				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0136		RefSeq	misc_feature	164506	164535	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0136		RefSeq	CDS	163366	164691	1326	+		441	cyp138	cytochrome P450 138				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0136		RefSeq	misc_feature	163699	163722	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0138		RefSeq	CDS	165323	165826	504	+		167		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0139		RefSeq	CDS	165827	166849	1023	+		340		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0140		RefSeq	CDS	166910	167290	381	+		126		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0142		RefSeq	CDS	167711	168637	927	+		308		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0144		RefSeq	CDS	170284	171126	843	+		280		TetR family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0145		RefSeq	CDS	171215	172168	954	+		317		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0146		RefSeq	CDS	172211	173143	933	+		310		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0147		RefSeq	misc_feature	174078	174113	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0147		RefSeq	CDS	173238	174758	1521	+		506		aldehyde dehydrogenase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0147		RefSeq	misc_feature	173994	174017	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0148		RefSeq	misc_feature	175283	175369	87	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0148		RefSeq	CDS	174833	175693	861	+		286		short-chain type dehydrogenase/reductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0149		RefSeq	CDS	175700	176668	969	+		322		quinone oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0149		RefSeq	misc_feature	176117	176170	54	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0155		RefSeq	CDS	183622	184722	1101	+		366	pntAa	NAD(P) transhydrogenase subunit alpha				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0156		RefSeq	CDS	184723	185055	333	+		110	pntAb	NAD(P) transhydrogenase subunit alpha				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0157		RefSeq	CDS	185052	186479	1428	+		475	pntB	NAD(P) transhydrogenase subunit beta				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0158		RefSeq	CDS	186785	187429	645	+		214		TetR family transcriptional regulator				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0161		RefSeq	CDS	190607	191956	1350	+		449		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0163		RefSeq	CDS	193117	193572	456	+		151		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0164		RefSeq	CDS	193626	194111	486	+		161	TB18.5	hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0166		RefSeq	misc_feature	195554	195589	36	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0166		RefSeq	CDS	194993	196657	1665	+		554	fadD5	acyl-CoA synthetase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0167		RefSeq	CDS	196861	197658	798	+		265	yrbE1A	integral membrane protein YRBE1A				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0168		RefSeq	CDS	197660	198529	870	+		289	yrbE1B	integral membrane protein YRBE1B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0169		RefSeq	CDS	198534	199898	1365	+		454	mce1A	MCE-family protein MCE1A				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0170		RefSeq	CDS	199895	200935	1041	+		346	mce1B	MCE-family protein MCE1B				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0171		RefSeq	CDS	200932	202479	1548	+		515	mce1C	MCE-family protein MCE1C				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0172		RefSeq	CDS	202476	204068	1593	+		530	mce1D	MCE-family protein MCE1D				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0173		RefSeq	CDS	204065	205237	1173	+		390	lprK	MCE-family lipoprotein LprK				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0173		RefSeq	misc_feature	204125	204157	33	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0174		RefSeq	CDS	205231	206778	1548	+		515	mce1F	MCE-family protein MCE1F				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0175		RefSeq	CDS	206814	207455	642	+		213		mce associated membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0176		RefSeq	CDS	207452	208420	969	+		322		mce associated transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0177		RefSeq	CDS	208417	208971	555	+		184		MCE associated protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0178		RefSeq	CDS	208938	209672	735	+		244		mce associated membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0183		RefSeq	CDS	214088	214927	840	+		279		lysophospholipase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0184		RefSeq	CDS	214969	215718	750	+		249		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0185		RefSeq	CDS	215715	216224	510	+		169		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0185		RefSeq	misc_feature	216069	216098	30	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0186		RefSeq	CDS	216269	218344	2076	+		691	bglS	beta-glucosidase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0187		RefSeq	CDS	218705	219367	663	+		220		O-methyltransferase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0188		RefSeq	CDS	219486	219917	432	+		143		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0190		RefSeq	CDS	221871	222161	291	+		96		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0191		RefSeq	CDS	222289	223530	1242	+		413		integral membrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0192		RefSeq	CDS	223564	224664	1101	+		366		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0194		RefSeq	misc_feature	229803	229826	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0194		RefSeq	CDS	226878	230462	3585	+		1194		drugs-transport transmembrane ATP-binding protein ABC transporter				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0194		RefSeq	misc_feature	227976	227999	24	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0194		RefSeq	misc_feature	228288	228332	45	+								
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0195		RefSeq	CDS	230899	231534	636	+		211		two component transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0196		RefSeq	CDS	231647	232231	585	+		194		transcriptional regulatory protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0197		RefSeq	CDS	232231	234519	2289	+		762		oxidoreductase				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0199		RefSeq	CDS	236550	237209	660	+		219		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnt02		RefSeq	tRNA	11112	11184	73	+				tRNA-Ala				
Mycobacterium tuberculosis H37Rv	NC_000962	Rvns02		RefSeq	misc_RNA	3467813	3468419	607	-								
Mycobacterium tuberculosis H37Rv	NC_000962	Rvnr02		RefSeq	rRNA	1473658	1476795	3138	+			rrl	ribosomal RNA 23S				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0200		RefSeq	CDS	237206	237895	690	+		229		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0203		RefSeq	CDS	241514	241924	411	+		136		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0205		RefSeq	CDS	243384	244487	1104	+		367		transmembrane protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0209		RefSeq	CDS	249038	250123	1086	+		361		hypothetical protein				
Mycobacterium tuberculosis H37Rv	NC_000962	Rv0210		RefSeq	CDS	250120	251598	1479	+		492		hypothetical protein				
